Time,Ask,Bid,AskVolume,BidVolume 
2015.01.02 04:27:10.641,1.20586,1.20582,1,3.41
2015.01.02 04:27:10.945,1.20584,1.2058,1,3.26
2015.01.02 04:27:17.112,1.20585,1.2058,2.62,5.55
2015.01.02 04:27:17.415,1.20588,1.20585,1,1
2015.01.02 04:27:17.920,1.20589,1.20585,1,1.06
2015.01.02 04:27:41.450,1.2059,1.20585,1.54,1.06
2015.01.02 04:28:08.140,1.2059,1.20586,1,1
2015.01.02 04:28:08.597,1.20593,1.20587,1.73,1
2015.01.02 04:28:08.698,1.20593,1.20589,1,2.1
2015.01.02 04:28:09.002,1.20599,1.20595,1.95,1.5
2015.01.02 04:28:09.053,1.20599,1.20596,1.5,1
2015.01.02 04:28:09.155,1.20601,1.20595,1,2.62
2015.01.02 04:28:09.660,1.20602,1.20595,2.44,2.1
2015.01.02 04:28:19.759,1.206,1.20595,1,3.04
2015.01.02 04:28:20.063,1.20602,1.20595,1.5,1.54
2015.01.02 04:28:24.219,1.206,1.20596,1,1.06
2015.01.02 04:28:32.212,1.20602,1.20596,1.69,1.06
2015.01.02 04:28:47.975,1.20603,1.20597,2.44,1
2015.01.02 04:28:48.638,1.20603,1.20597,2.44,1.28
2015.01.02 04:28:56.958,1.20603,1.20597,2.44,1.28
2015.01.02 04:29:07.689,1.20602,1.20596,3.37,1.28
2015.01.02 04:29:35.151,1.20599,1.20595,1,1.76
2015.01.02 04:29:35.657,1.20599,1.20595,1,1.12
2015.01.02 04:29:35.961,1.20597,1.20595,1,1.12
2015.01.02 04:29:36.264,1.20593,1.20588,1,3
2015.01.02 04:29:36.315,1.20593,1.20587,1,2.7
2015.01.02 04:29:36.820,1.20593,1.20587,1,1.52
2015.01.02 04:29:37.325,1.20592,1.20587,1,1.28
2015.01.02 04:29:38.342,1.20589,1.20586,1,2.7
2015.01.02 04:29:38.890,1.20589,1.20586,1,1.28
2015.01.02 04:29:42.429,1.2059,1.20586,1,1.28
2015.01.02 04:29:42.951,1.20591,1.20587,1,1.28
2015.01.02 04:29:47.535,1.20591,1.20586,1,1.54
2015.01.02 04:29:50.848,1.20592,1.20585,4.12,2.29
2015.01.02 04:29:55.143,1.20591,1.20586,1,1.06
2015.01.02 04:30:10.566,1.20589,1.20585,1,3.6
2015.01.02 04:30:11.221,1.20591,1.20586,1,1.06
2015.01.02 04:30:18.765,1.20587,1.20584,1,1.72
2015.01.02 04:30:19.069,1.20583,1.20581,4.12,1
2015.01.02 04:30:19.170,1.2058,1.20578,1,1
2015.01.02 04:30:19.373,1.20582,1.20576,1,1.72
2015.01.02 04:30:19.524,1.20582,1.20578,1,1
2015.01.02 04:30:20.038,1.20582,1.20576,1,1.72
2015.01.02 04:30:25.293,1.20583,1.20576,4.31,1.72
2015.01.02 04:30:28.514,1.20582,1.20576,1,1.72
2015.01.02 04:30:44.661,1.20581,1.20576,1,4.16
2015.01.02 04:30:46.750,1.20582,1.20576,1,3.97
